entry,exit,side,ret,dur
2024-07-25 08:00:00+00:00,2024-07-26 08:00:00+00:00,L,0.045382397003745335,24.0
2024-07-30 20:00:00+00:00,2024-08-01 08:00:00+00:00,L,-0.03899535744225593,36.0
2024-08-01 12:00:00+00:00,2024-08-03 00:00:00+00:00,L,-0.03833433952443046,36.0
2024-08-09 04:00:00+00:00,2024-08-15 00:00:00+00:00,S,0.04698745224552168,140.0
2024-08-20 08:00:00+00:00,2024-08-20 20:00:00+00:00,S,0.029957572667006584,12.0
2024-08-22 00:00:00+00:00,2024-08-24 00:00:00+00:00,S,-0.04078522747433446,48.0
2024-09-10 00:00:00+00:00,2024-09-13 12:00:00+00:00,S,-0.039318062949879405,84.0
2024-09-30 12:00:00+00:00,2024-10-01 12:00:00+00:00,L,-0.02561019254829735,24.0
2024-10-01 16:00:00+00:00,2024-10-01 20:00:00+00:00,L,-0.032797134384209524,4.0
2024-10-02 00:00:00+00:00,2024-10-07 00:00:00+00:00,L,0.03288492429229759,120.0
2024-10-23 12:00:00+00:00,2024-10-24 20:00:00+00:00,L,0.02698959802326293,32.0
2024-10-25 20:00:00+00:00,2024-10-27 16:00:00+00:00,L,0.013771002113024268,44.0
2024-11-03 04:00:00+00:00,2024-11-06 04:00:00+00:00,L,0.08635942368170854,72.0
2024-11-25 20:00:00+00:00,2024-11-26 20:00:00+00:00,L,-0.041597629601938156,24.0
2024-11-27 00:00:00+00:00,2024-11-27 20:00:00+00:00,L,0.05150371699898835,20.0
2024-12-02 12:00:00+00:00,2024-12-02 16:00:00+00:00,L,0.01987078268915341,4.0
2024-12-09 20:00:00+00:00,2024-12-11 16:00:00+00:00,L,0.03472339092071084,44.0
2024-12-19 00:00:00+00:00,2024-12-19 20:00:00+00:00,L,-0.04384805039383335,20.0
2025-01-02 16:00:00+00:00,2025-01-06 04:00:00+00:00,S,-0.03232245205209296,84.0
2025-01-14 12:00:00+00:00,2025-01-15 20:00:00+00:00,S,-0.039181047110841825,32.0
2025-01-27 00:00:00+00:00,2025-01-27 04:00:00+00:00,L,-0.03589205546595,4.0
2025-01-27 08:00:00+00:00,2025-01-30 00:00:00+00:00,L,0.04673932600155526,64.0
2025-01-31 20:00:00+00:00,2025-02-02 12:00:00+00:00,L,-0.03853759489682775,40.0
2025-02-11 08:00:00+00:00,2025-02-11 16:00:00+00:00,S,0.011629628713636465,8.0
2025-02-13 00:00:00+00:00,2025-02-13 08:00:00+00:00,S,0.017544600909649245,8.0
2025-02-14 20:00:00+00:00,2025-02-17 00:00:00+00:00,S,0.01880707846688732,52.0
2025-02-20 20:00:00+00:00,2025-02-21 20:00:00+00:00,S,0.0326107438363644,24.0
2025-03-02 20:00:00+00:00,2025-03-03 20:00:00+00:00,S,0.09220986941323636,24.0
2025-03-05 12:00:00+00:00,2025-03-08 00:00:00+00:00,S,0.033933826682343106,60.0
2025-03-17 20:00:00+00:00,2025-03-18 12:00:00+00:00,S,0.02193973492282706,16.0
2025-03-19 16:00:00+00:00,2025-03-21 16:00:00+00:00,S,0.014173747291035578,48.0
2025-03-23 16:00:00+00:00,2025-03-24 04:00:00+00:00,S,-0.022589000776960376,12.0
2025-03-24 08:00:00+00:00,2025-03-28 08:00:00+00:00,S,0.018913424213603848,96.0
2025-04-10 00:00:00+00:00,2025-04-10 16:00:00+00:00,S,0.048332377757446345,16.0
2025-04-11 12:00:00+00:00,2025-04-20 12:00:00+00:00,S,-0.025188398079026196,216.0
2025-05-05 00:00:00+00:00,2025-05-07 00:00:00+00:00,L,0.025459314323284056,48.0
2025-05-28 16:00:00+00:00,2025-05-30 16:00:00+00:00,L,-0.02914773013764984,48.0
2025-05-30 20:00:00+00:00,2025-06-03 16:00:00+00:00,L,0.01867210736099554,92.0
2025-06-05 16:00:00+00:00,2025-06-05 20:00:00+00:00,L,-0.027508585353123415,4.0
2025-06-24 00:00:00+00:00,2025-07-01 12:00:00+00:00,S,-0.01250150155219789,180.0
2025-07-01 16:00:00+00:00,2025-07-02 08:00:00+00:00,L,0.009794714986787502,16.0
2025-07-21 00:00:00+00:00,2025-07-21 08:00:00+00:00,L,0.01729513734857533,8.0
2025-07-21 20:00:00+00:00,2025-07-22 12:00:00+00:00,L,0.01953576877306227,16.0
