signal_bar,entry_ts,side,entry_price,stop_price,atr_at_entry,exit_ts,exit_price,exit_reason,bars_held,ret_pct
2024-07-25 04:00:00+00:00,2024-07-25 08:00:00+00:00,L,64075.0,61733.79,936.49,2024-07-26 08:00:00+00:00,67065.0,SIGNAL,6,4.6064
2024-07-30 16:00:00+00:00,2024-07-30 20:00:00+00:00,L,66194.0,63692.36,1000.65,2024-08-01 08:00:00+00:00,63692.36,STOP,9,-3.8393
2024-08-01 08:00:00+00:00,2024-08-01 12:00:00+00:00,L,64302.0,61915.23,954.71,2024-08-03 00:00:00+00:00,61915.23,STOP,9,-3.7718
2024-08-09 00:00:00+00:00,2024-08-09 04:00:00+00:00,S,61699.0,65931.8,1693.12,2024-08-15 00:00:00+00:00,58895.0,SIGNAL,35,4.701
2024-08-20 04:00:00+00:00,2024-08-20 08:00:00+00:00,S,60661.0,62847.17,874.47,2024-08-20 20:00:00+00:00,58830.0,SIGNAL,3,3.0524
2024-08-21 20:00:00+00:00,2024-08-22 00:00:00+00:00,S,61602.0,64141.86,1015.94,2024-08-24 00:00:00+00:00,64141.86,STOP,12,-4.0198
2024-09-09 20:00:00+00:00,2024-09-10 00:00:00+00:00,S,57103.0,59365.87,905.15,2024-09-13 12:00:00+00:00,59365.87,STOP,21,-3.8717
2024-09-30 08:00:00+00:00,2024-09-30 12:00:00+00:00,L,63828.0,62270.14,623.14,2024-10-01 12:00:00+00:00,62270.14,STOP,6,-2.5007
2024-10-01 12:00:00+00:00,2024-10-01 16:00:00+00:00,L,62627.0,60650.6,790.56,2024-10-01 20:00:00+00:00,60650.6,STOP,1,-3.2158
2024-10-01 20:00:00+00:00,2024-10-02 00:00:00+00:00,L,60807.0,58634.41,869.03,2024-10-07 00:00:00+00:00,62831.0,SIGNAL,30,3.2686
2024-10-23 08:00:00+00:00,2024-10-23 12:00:00+00:00,L,66349.0,64583.51,706.2,2024-10-24 20:00:00+00:00,68243.0,SIGNAL,8,2.7946
2024-10-25 16:00:00+00:00,2024-10-25 20:00:00+00:00,L,66697.0,64379.82,926.87,2024-10-27 16:00:00+00:00,67728.0,SIGNAL,11,1.4858
2024-11-03 00:00:00+00:00,2024-11-03 04:00:00+00:00,L,68365.0,66225.12,855.95,2024-11-06 04:00:00+00:00,74351.0,SIGNAL,18,8.6959
2024-11-25 16:00:00+00:00,2024-11-25 20:00:00+00:00,L,94670.0,90846.16,1529.54,2024-11-26 20:00:00+00:00,90846.16,STOP,6,-4.0991
2024-11-26 20:00:00+00:00,2024-11-27 00:00:00+00:00,L,91928.0,87678.13,1699.95,2024-11-27 20:00:00+00:00,96774.0,SIGNAL,5,5.2115
