date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2023-04-20,PULS,-36.0,13494.99,1.01,1.8,0.657
2023-04-20,ZVOL,36.0,13494.99,15.0,5.4,4.281
2023-04-21,PULS,35.969,13479.87,1.01,1.798,0.656
2023-04-21,ZVOL,-35.969,13479.87,15.0,5.395,4.279
2023-04-25,PULS,-68.0,25492.01,1.01,3.4,1.24
2023-04-25,ZVOL,68.0,25492.01,15.0,10.2,8.196
2023-04-26,PULS,0.224,84.45,1.01,0.011,0.094
2023-04-26,ZVOL,-0.224,84.45,15.0,0.034,0.11
2023-04-27,PULS,68.241,25934.47,1.01,3.412,1.244
2023-04-27,ZVOL,-68.241,25934.47,15.0,10.236,8.16
2023-04-28,PULS,-36.0,13684.76,1.01,1.8,0.656
2023-04-28,VXZ,35.4,13456.68,3.0,1.77,1.533
2023-05-01,PULS,35.697,13492.33,1.02,1.785,0.654
2023-05-01,VXZ,-35.093,13264.33,3.0,1.755,1.534
2023-05-03,PULS,-36.0,13618.54,1.02,1.8,0.659
2023-05-03,ZVOL,36.0,13618.54,15.0,5.4,4.327
2023-05-04,PULS,-16.429,6181.36,1.01,0.821,0.3
2023-05-04,ZVOL,16.429,6181.36,15.0,2.464,1.988
2023-05-05,PULS,52.719,20085.05,1.02,2.636,0.965
2023-05-05,ZVOL,-52.719,20085.05,15.0,7.908,6.314
2023-05-16,PULS,-36.0,13729.74,1.02,1.8,0.658
2023-05-16,ZVOL,36.0,13729.74,15.0,5.4,4.296
2023-05-17,PULS,36.424,13981.83,1.02,1.821,0.666
2023-05-17,ZVOL,-36.424,13981.83,15.0,5.464,4.316
2023-05-18,PULS,-52.0,19954.01,1.02,2.6,0.95
2023-05-18,VXZ,51.9,19915.64,3.0,2.595,2.303
2023-05-19,PULS,52.346,20239.91,1.02,2.617,0.956
2023-05-19,VXZ,-52.346,20239.91,3.0,2.617,2.299
2023-05-23,PULS,-36.0,13929.99,1.01,1.8,0.657
2023-05-23,ZVOL,36.0,13929.99,15.0,5.4,4.267
2023-05-24,PULS,-16.027,6198.57,1.01,0.801,0.292
2023-05-24,ZVOL,16.027,6198.57,15.0,2.404,1.9
2023-05-25,PULS,52.251,20296.88,1.01,2.613,0.954
2023-05-25,ZVOL,-52.251,20296.88,15.0,7.838,6.173
2023-05-26,PULS,-36.0,13976.33,1.01,1.8,0.657
2023-05-26,VXZ,35.3,13704.57,3.0,1.765,1.586
2023-05-30,PULS,-0.166,64.21,1.01,0.008,0.091
2023-05-30,VXZ,0.767,297.2,3.0,0.038,0.102
2023-05-31,PULS,35.875,13887.51,1.01,1.794,0.654
2023-05-31,VXZ,-35.775,13848.75,3.0,1.789,1.619
2023-06-02,PULS,-60.0,23200.64,1.02,3.0,1.099
2023-06-02,VXZ,59.7,23084.64,3.0,2.985,2.814
2023-06-05,PULS,59.843,23049.63,1.02,2.992,1.095
2023-06-05,VXZ,-59.542,22933.7,3.0,2.977,2.818
2023-06-06,PULS,-52.0,20018.04,1.02,2.6,0.952
2023-06-06,VXZ,51.3,19748.57,3.0,2.565,2.492
2023-06-07,PULS,52.246,20201.14,1.02,2.612,0.956
2023-06-07,VXZ,-51.549,19931.81,3.0,2.577,2.487
2023-06-09,PULS,-52.0,20103.61,1.02,2.6,0.952
2023-06-09,VXZ,51.8,20026.29,3.0,2.59,2.543
2023-06-12,PULS,-23.955,9275.17,1.02,1.198,0.438
2023-06-12,VXZ,23.755,9197.6,3.0,1.188,1.164
2023-06-13,PULS,-16.048,6202.6,1.02,0.802,0.293
2023-06-13,VXZ,16.349,6318.79,3.0,0.817,0.802
2023-06-14,PULS,-0.068,26.08,1.02,0.003,0.092
2023-06-14,VXZ,-0.031,11.92,3.0,0.002,0.092
2023-06-15,PULS,-7.947,3067.25,1.01,0.397,0.145
2023-06-15,VXZ,8.145,3143.89,3.0,0.407,0.4
2023-06-16,PULS,68.0,25688.87,1.01,3.4,1.242
2023-06-16,VXZ,-68.1,25726.65,3.0,3.405,3.394
2023-06-20,PULS,32.366,12299.19,1.01,1.618,0.591
2023-06-20,VXZ,-32.267,12261.42,3.0,1.613,1.588
2023-06-21,PULS,-36.0,13677.79,1.01,1.8,0.657
2023-06-21,ZVOL,36.0,13677.79,15.0,5.4,4.013
2023-06-22,PULS,36.079,13719.37,1.01,1.804,0.658
2023-06-22,ZVOL,-36.079,13719.37,15.0,5.412,4.017
2023-06-23,PULS,-36.0,13692.66,1.01,1.8,0.656
2023-06-23,ZVOL,36.0,13692.66,15.0,5.4,4.016
2023-06-26,PULS,-15.74,6012.53,1.01,0.787,0.287
2023-06-26,ZVOL,15.74,6012.53,15.0,2.361,1.749
2023-06-27,PULS,52.59,20319.78,1.01,2.629,0.959
2023-06-27,ZVOL,-52.59,20319.78,15.0,7.888,5.8
2023-06-29,PULS,-36.0,13913.12,1.01,1.8,0.656
2023-06-29,VXZ,35.5,13719.88,3.0,1.775,1.818
2023-06-30,PULS,-24.325,9364.44,1.01,1.216,0.443
2023-06-30,VXZ,24.227,9326.66,3.0,1.211,1.251
2023-07-03,PULS,-0.226,86.53,1.02,0.011,0.093
2023-07-03,VXZ,0.729,279.01,3.0,0.036,0.102
2023-07-05,PULS,60.0,22963.55,1.02,3.0,1.098
2023-07-05,VXZ,-60.0,22963.55,3.0,3.0,3.117
2023-07-06,PULS,-36.0,13773.01,1.02,1.8,0.659
2023-07-06,ZVOL,36.0,13773.01,15.0,5.4,3.955
2023-07-07,PULS,0.233,89.65,1.02,0.012,0.092
2023-07-07,ZVOL,-0.233,89.65,15.0,0.035,0.109
2023-07-10,PULS,36.415,14085.48,1.02,1.821,0.665
2023-07-10,ZVOL,-36.415,14085.48,15.0,5.462,3.964
2023-07-11,PULS,-36.0,13922.8,1.01,1.8,0.658
2023-07-11,VXZ,35.6,13768.1,3.0,1.78,1.869
2023-07-12,PULS,-16.583,6364.49,1.01,0.829,0.303
2023-07-12,VXZ,16.585,6365.46,3.0,0.829,0.885
2023-07-13,PULS,-15.898,6117.55,1.01,0.795,0.29
2023-07-13,VXZ,15.898,6117.23,3.0,0.795,0.845
2023-07-14,PULS,-0.181,69.43,1.01,0.009,0.092
2023-07-14,VXZ,-0.018,6.71,3.0,0.001,0.092
2023-07-17,PULS,-7.923,3041.12,1.01,0.396,0.145
2023-07-17,VXZ,7.922,3040.76,3.0,0.396,0.422
2023-07-18,PULS,-20.018,7678.96,1.01,1.001,0.365
2023-07-18,VXZ,19.918,7640.65,3.0,0.996,1.062
2023-07-19,PULS,0.038,14.69,1.01,0.002,0.091
2023-07-19,VXZ,0.057,22.2,3.0,0.003,0.091
2023-07-20,PULS,96.022,37379.26,1.01,4.801,1.75
2023-07-20,VXZ,-95.625,37224.51,3.0,4.781,5.04
2023-07-25,PULS,-36.0,14017.32,1.01,1.8,0.656
2023-07-25,VXZ,35.8,13939.45,3.0,1.79,1.916
2023-07-26,PULS,-16.305,6318.77,1.01,0.815,0.297
2023-07-26,VXZ,16.106,6241.61,3.0,0.805,0.871
2023-07-27,PULS,16.457,6435.43,1.01,0.823,0.3
2023-07-27,VXZ,-52.061,20358.33,3.0,2.603,2.776
2023-07-27,ZVOL,36.0,14077.83,15.0,5.4,3.891
2023-07-28,PULS,36.479,14380.49,1.01,1.824,0.664
2023-07-28,ZVOL,-36.479,14380.49,15.0,5.472,3.917
2023-07-31,PULS,-36.0,14194.88,1.01,1.8,0.655
2023-07-31,VXZ,35.5,13997.73,3.0,1.775,1.919
2023-08-01,PULS,36.259,14340.89,1.02,1.813,0.663
2023-08-01,VXZ,-35.761,14143.81,3.0,1.788,1.918
2023-08-02,PULS,-52.0,20568.04,1.02,2.6,0.95
2023-08-02,ZVOL,52.0,20568.04,15.0,7.8,5.653
2023-08-03,PULS,-7.921,3139.21,1.01,0.396,0.145
2023-08-03,ZVOL,7.921,3139.21,15.0,1.188,0.86
2023-08-04,PULS,-8.389,3294.42,1.01,0.419,0.153
2023-08-04,ZVOL,8.389,3294.42,15.0,1.258,0.915
2023-08-07,PULS,68.601,27441.47,1.01,3.43,1.252
2023-08-07,ZVOL,-68.601,27441.47,15.0,10.29,7.421
2023-08-09,PULS,-52.0,20793.95,1.01,2.6,0.949
2023-08-09,ZVOL,52.0,20793.95,15.0,7.8,5.652
2023-08-10,PULS,16.03,6412.95,1.01,0.801,0.293
2023-08-10,ZVOL,-16.03,6412.95,15.0,2.404,1.742
2023-08-11,PULS,-15.637,6289.24,1.01,0.782,0.285
2023-08-11,ZVOL,15.637,6289.24,15.0,2.346,1.691
2023-08-14,PULS,52.08,20978.34,1.01,2.604,0.95
2023-08-14,ZVOL,-52.08,20978.34,15.0,7.812,5.625
2023-08-15,PULS,-52.0,20934.9,1.01,2.6,0.949
2023-08-15,ZVOL,52.0,20934.9,15.0,7.8,5.665
2023-08-16,PULS,-24.276,9719.16,1.01,1.214,0.443
2023-08-16,ZVOL,24.276,9719.16,15.0,3.641,2.654
2023-08-17,PULS,-16.343,6451.03,1.01,0.817,0.298
2023-08-17,ZVOL,16.343,6451.03,15.0,2.452,1.797
2023-08-18,PULS,8.057,3204.14,1.01,0.403,0.147
2023-08-18,ZVOL,-8.057,3204.14,15.0,1.209,0.884
2023-08-21,PULS,84.223,33941.54,1.01,4.211,1.535
2023-08-21,ZVOL,-84.223,33941.54,15.0,12.633,9.187
2023-08-23,PULS,-36.0,14508.43,1.01,1.8,0.656
2023-08-23,VXZ,35.7,14387.53,3.0,1.785,1.866
2023-08-24,PULS,36.409,14765.31,1.01,1.82,0.663
2023-08-24,VXZ,-36.111,14644.45,3.0,1.806,1.863
2023-08-29,PULS,-52.0,21106.57,1.01,2.6,0.946
2023-08-29,VXZ,51.6,20944.21,3.0,2.58,2.769
2023-08-30,PULS,-0.227,91.59,1.01,0.011,0.088
2023-08-30,VXZ,0.629,253.95,3.0,0.031,0.096
2023-08-31,PULS,51.633,20697.7,1.01,2.582,0.939
2023-08-31,VXZ,-51.633,20697.7,3.05,2.582,2.83
2023-09-01,PULS,-52.0,20824.75,1.02,2.6,0.95
2023-09-01,VXZ,51.6,20664.56,3.05,2.58,2.835
2023-09-05,PULS,51.762,20637.29,1.01,2.588,0.945
2023-09-05,VXZ,-51.36,20477.18,3.08,2.568,2.846
2023-09-06,PULS,-36.0,14341.89,1.01,1.8,0.657
2023-09-06,ZVOL,36.0,14341.89,15.0,5.4,3.852
2023-09-07,PULS,-15.877,6336.11,1.01,0.794,0.29
2023-09-07,ZVOL,15.877,6336.11,15.0,2.381,1.696
2023-09-08,PULS,52.266,20975.94,1.01,2.613,0.954
2023-09-08,ZVOL,-52.266,20975.94,15.0,7.84,5.565
2023-09-14,PULS,-36.0,14451.48,1.01,1.8,0.657
2023-09-14,VXZ,35.7,14331.06,3.2,1.785,2.054
2023-09-15,PULS,36.358,14675.0,1.01,1.818,0.663
2023-09-15,VXZ,-36.06,14554.62,3.15,1.803,2.042
2023-09-19,PULS,-36.0,14539.66,1.01,1.8,0.656
2023-09-19,ZVOL,36.0,14539.66,15.0,5.4,3.803
2023-09-20,PULS,-24.28,9762.96,1.01,1.214,0.442
2023-09-20,ZVOL,24.28,9762.96,15.0,3.642,2.574
2023-09-21,PULS,-32.698,12918.23,1.01,1.635,0.595
2023-09-21,ZVOL,32.698,12918.23,15.0,4.905,3.496
2023-09-22,PULS,0.0,0.11,1.01,0.0,0.089
2023-09-22,ZVOL,-0.0,0.11,15.0,0.0,0.089
2023-09-25,PULS,91.994,36312.08,1.01,4.6,1.674
2023-09-25,ZVOL,-91.994,36312.08,15.0,13.799,9.836
2023-09-26,PULS,-96.0,37848.45,1.01,4.8,1.747
2023-09-26,ZVOL,96.0,37848.45,15.0,14.4,10.428
2023-09-27,PULS,0.054,21.62,1.01,0.003,0.088
2023-09-27,ZVOL,-0.054,21.62,15.0,0.008,0.092
2023-09-28,PULS,96.096,39325.69,1.01,4.805,1.748
2023-09-28,ZVOL,-96.096,39325.69,15.0,14.414,10.312
2023-10-03,PULS,-100.0,40909.45,1.01,5.0,1.826
2023-10-03,ZVOL,100.0,40909.45,15.0,15.0,10.948
2023-10-04,PULS,100.0,41628.83,1.01,5.0,1.826
2023-10-04,ZVOL,-100.0,41628.83,15.0,15.0,10.885
2023-10-06,PULS,-36.0,14989.96,1.01,1.8,0.657
2023-10-06,VXZ,35.6,14823.4,3.0,1.78,1.892
2023-10-09,PULS,-16.036,6675.07,1.01,0.802,0.293
2023-10-09,VXZ,15.936,6633.47,3.0,0.797,0.848
2023-10-10,PULS,-0.395,163.13,1.01,0.02,0.087
2023-10-10,VXZ,0.598,247.16,3.0,0.03,0.094
2023-10-11,PULS,-8.34,3423.62,1.01,0.417,0.152
2023-10-11,VXZ,8.442,3465.2,3.02,0.422,0.459
2023-10-12,PULS,60.398,25026.62,1.01,3.02,1.101
2023-10-12,VXZ,-60.299,24985.6,3.0,3.015,3.232
2023-10-13,PULS,-36.0,14914.47,1.01,1.8,0.656
2023-10-13,ZVOL,36.0,14914.47,15.0,5.4,3.959
2023-10-16,PULS,36.928,15518.14,1.01,1.846,0.673
2023-10-16,ZVOL,-36.928,15518.14,15.0,5.539,4.01
2023-10-18,PULS,-36.0,15125.5,1.01,1.8,0.656
2023-10-18,ZVOL,36.0,15125.5,15.0,5.4,3.968
2023-10-19,PULS,-16.721,6945.98,1.01,0.836,0.305
