date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2021-07-29,UPRO,100.0,72781.95,1.0,5.0,1.028
2021-07-29,TQQQ,-100.0,72781.95,0.5,5.0,0.732
2021-07-30,UPRO,-100.0,71603.09,1.0,5.0,1.036
2021-07-30,TQQQ,100.0,71603.09,0.5,5.0,0.74
2021-08-06,UPRO,100.0,73517.9,1.0,5.0,1.022
2021-08-06,TQQQ,-100.0,73517.9,0.5,5.0,0.726
2021-08-09,UPRO,-100.0,73212.74,1.0,5.0,1.023
2021-08-09,TQQQ,100.0,73212.74,0.5,5.0,0.724
2021-08-10,TQQQ,-100.0,72044.33,0.5,5.0,0.731
2021-08-10,SSO,100.0,72044.33,1.0,5.0,1.011
2021-08-18,SSO,-100.0,70821.65,1.0,5.0,1.019
2021-08-18,UDOW,100.0,70821.65,1.5,5.0,1.606
2021-08-19,ANGL,100.0,70320.36,1.52,5.0,2.745
2021-08-19,UDOW,-100.0,70320.36,1.5,5.0,1.611
2021-08-20,UPRO,100.0,70397.82,1.0,5.0,1.019
2021-08-20,ANGL,-100.0,70397.82,1.52,5.0,2.739
2021-08-23,UPRO,-100.0,72123.83,1.0,5.0,1.006
2021-08-23,TQQQ,100.0,72123.83,0.5,5.0,0.708
2021-09-17,TQQQ,-100.0,72247.79,0.5,5.0,0.707
2021-09-17,TNA,100.0,72247.79,1.0,5.0,1.249
2021-09-20,TECL,100.0,67107.58,1.5,5.0,1.824
2021-09-20,TNA,-100.0,67107.58,1.0,5.0,1.306
2021-09-22,BSV,100.0,69885.65,1.0,5.0,1.292
2021-09-22,TECL,-100.0,69885.65,1.5,5.0,1.78
2021-09-28,BSV,-100.0,69677.83,1.0,5.0,1.294
2021-09-28,QLD,100.0,69677.83,1.0,5.0,1.383
2021-10-01,QLD,-100.0,69710.18,1.0,5.0,1.381
2021-10-01,TLT,100.0,69710.18,0.5,5.0,0.697
2021-10-04,SMH,100.0,69461.45,1.0,5.0,0.76
2021-10-04,TLT,-100.0,69461.45,0.5,5.0,0.698
2021-10-05,SMH,-100.0,70365.26,1.0,5.0,0.757
2021-10-05,ANGL,100.0,70365.26,1.52,5.0,2.741
2021-10-07,LQD,100.0,70250.07,0.5,5.0,0.741
2021-10-07,ANGL,-100.0,70250.07,1.52,5.0,2.742
2021-10-08,LQD,-100.0,69854.82,0.5,5.0,0.743
2021-10-08,ANGL,100.0,69854.82,1.53,5.0,2.755
2021-10-12,BSV,100.0,69889.63,1.0,5.0,1.295
2021-10-12,ANGL,-100.0,69889.63,1.53,5.0,2.751
2021-10-14,BSV,-100.0,69817.97,1.0,5.0,1.295
2021-10-14,TNA,100.0,69817.97,1.0,5.0,1.216
2021-10-15,TNA,-100.0,69108.71,1.0,5.0,1.223
2021-10-15,UDOW,100.0,69108.71,1.5,5.0,1.584
2021-10-18,SSO,100.0,68798.4,1.0,5.0,1.0
2021-10-18,UDOW,-100.0,68798.4,1.5,5.0,1.587
2021-10-26,UPRO,100.0,71403.18,1.0,5.0,0.979
2021-10-26,SSO,-100.0,71403.18,1.0,5.0,0.981
2021-10-27,UPRO,-100.0,70357.93,1.0,5.0,0.985
2021-10-27,TQQQ,100.0,70357.93,0.5,5.0,0.689
2021-11-03,TQQQ,-100.0,77777.6,0.5,5.0,0.647
2021-11-03,UVXY,100.0,77777.6,3.42,5.0,6.152
2021-11-09,SSO,100.0,85982.98,1.0,5.0,0.958
2021-11-09,UVXY,-100.0,85982.98,3.09,5.0,5.559
2021-11-11,SSO,-100.0,84549.95,1.0,5.0,0.966
2021-11-11,TNA,100.0,84549.95,1.0,5.0,1.107
2021-11-12,SSO,100.0,84660.43,1.0,5.0,0.959
2021-11-12,TNA,-100.0,84660.43,1.0,5.0,1.105
2021-11-16,UPRO,100.0,85248.04,1.0,5.0,0.94
2021-11-16,SSO,-100.0,85248.04,1.0,5.0,0.955
2021-11-17,UPRO,-100.0,84514.77,1.0,5.0,0.944
2021-11-17,TQQQ,100.0,84514.77,0.5,5.0,0.635
2021-11-23,TQQQ,-100.0,84253.21,0.5,5.0,0.635
2021-11-23,SSO,100.0,84253.21,1.0,5.0,0.957
2021-11-26,TQQQ,100.0,80858.44,0.5,5.0,0.654
2021-11-26,SSO,-100.0,80858.44,1.0,5.0,0.976
2021-12-03,VBF,100.0,75371.57,3.0,5.0,4.761
