date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2023-04-20,PULS,-0.041,29.71,1.01,0.002,0.048
2023-04-20,TLT,0.041,29.71,0.5,0.002,0.048
2023-04-21,PULS,0.083,60.54,1.01,0.004,0.049
2023-04-21,TLT,-75.083,54519.37,0.5,3.754,0.655
2023-04-21,UVXY,75.0,54458.83,13.26,9.947,17.905
2023-04-24,PULS,-0.011,8.17,1.01,0.001,0.048
2023-04-24,UVXY,0.011,8.17,13.33,0.002,0.049
2023-04-25,PULS,-15.08,11864.85,1.01,0.754,0.275
2023-04-25,ZVOL,17.0,13375.9,15.0,2.55,2.049
2023-04-25,UVXY,-1.92,1511.05,11.93,0.229,0.413
2023-04-26,PULS,-0.219,167.15,1.01,0.011,0.047
2023-04-26,SOXL,75.0,57374.36,3.74,3.75,5.049
2023-04-26,ZVOL,-0.645,493.57,15.0,0.097,0.094
2023-04-26,UVXY,-74.136,56713.64,12.41,9.198,16.556
2023-04-27,PULS,17.089,13210.71,1.01,0.854,0.312
2023-04-27,SOXL,-75.091,58048.6,3.69,3.755,4.991
2023-04-27,ZVOL,-16.998,13140.28,15.0,2.55,2.033
2023-04-27,TLT,75.0,57978.17,0.5,3.75,0.653
2023-04-28,PULS,-0.012,9.76,1.01,0.001,0.045
2023-04-28,TLT,0.012,9.76,0.5,0.001,0.045
2023-05-01,PULS,0.063,48.47,1.02,0.003,0.046
2023-05-01,TLT,-0.063,48.47,0.5,0.003,0.046
2023-05-02,PULS,-0.057,44.17,1.02,0.003,0.045
2023-05-02,TLT,0.057,44.17,0.5,0.003,0.045
2023-05-03,PULS,-0.0,0.09,1.02,0.0,0.045
2023-05-03,TLT,0.0,0.09,0.5,0.0,0.045
2023-05-04,PULS,-12.912,10031.38,1.01,0.646,0.236
2023-05-04,ZVOL,13.0,10099.98,15.0,1.95,1.573
2023-05-04,TLT,-75.088,58337.71,0.5,3.754,0.651
2023-05-04,SQQQ,75.0,58269.11,1.62,3.75,2.193
2023-05-05,PULS,12.473,9256.35,1.02,0.624,0.228
2023-05-05,ZVOL,-13.968,10365.11,15.0,2.095,1.673
2023-05-05,TLT,75.0,55656.5,0.5,3.75,0.652
2023-05-05,SQQQ,-73.506,54547.74,1.73,3.675,2.294
2023-05-08,PULS,0.023,16.83,1.02,0.001,0.048
2023-05-08,TLT,-0.023,16.83,0.5,0.001,0.048
2023-05-09,PULS,-0.364,266.35,1.02,0.018,0.05
2023-05-09,TLT,-74.636,54621.39,0.5,3.732,0.657
2023-05-09,SQQQ,75.0,54887.74,1.71,3.75,2.312
2023-05-10,PULS,-0.623,445.07,1.02,0.031,0.052
2023-05-10,TLT,75.0,53544.17,0.5,3.75,0.656
2023-05-10,SQQQ,-74.377,53099.1,1.77,3.719,2.368
2023-05-11,PULS,-0.007,5.12,1.02,0.0,0.049
2023-05-11,TLT,0.007,5.12,0.5,0.0,0.049
2023-05-12,PULS,0.043,30.7,1.02,0.002,0.049
2023-05-12,TLT,-0.043,30.7,0.5,0.002,0.049
2023-05-15,PULS,-0.207,146.93,1.02,0.01,0.05
2023-05-15,SOXL,37.5,26591.12,3.31,1.875,2.234
2023-05-15,TECL,37.5,26591.12,1.5,1.875,0.937
2023-05-15,TLT,-74.793,53035.3,0.5,3.74,0.658
2023-05-16,PULS,-8.997,6374.77,1.02,0.45,0.164
2023-05-16,SOXL,0.138,98.12,3.32,0.007,0.052
2023-05-16,SVIX,37.5,26570.88,4.0,1.875,2.028
2023-05-16,ZVOL,9.0,6377.01,15.0,1.35,1.074
2023-05-16,TECL,-37.642,26671.23,1.5,1.882,0.938
2023-05-17,PULS,0.028,20.73,1.02,0.001,0.048
2023-05-17,SOXL,-0.029,21.67,3.1,0.001,0.048
2023-05-17,SVIX,0.008,6.14,4.0,0.0,0.048
2023-05-17,ZVOL,-0.007,5.19,15.0,0.001,0.048
2023-05-18,PULS,-2.633,2044.49,1.02,0.132,0.058
2023-05-18,SOXL,-2.647,2055.29,2.83,0.132,0.135
2023-05-18,SVIX,0.741,575.34,4.0,0.037,0.06
2023-05-18,ZVOL,-8.46,6568.45,15.0,1.269,0.998
2023-05-18,VXZ,12.4,9627.06,3.0,0.62,0.55
2023-05-19,PULS,12.826,9812.4,1.02,0.641,0.234
2023-05-19,SOXL,0.054,41.21,2.88,0.003,0.047
2023-05-19,SVIX,0.51,390.13,4.0,0.025,0.056
2023-05-19,VXZ,-12.781,9777.98,3.0,0.639,0.561
2023-05-22,PULS,-0.031,24.04,1.02,0.002,0.046
