date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2021-08-10,LABD,25.0,16866.32,3.0,1.25,1.099
2021-08-10,TMV,25.0,16866.32,2.0,1.25,0.518
2021-08-10,BIL,-50.0,33732.64,0.55,2.5,0.492
2021-08-11,LABD,-0.366,248.65,3.0,0.018,0.057
2021-08-11,TMV,0.081,55.09,2.0,0.004,0.052
2021-08-11,BIL,0.285,193.56,0.55,0.014,0.052
2021-08-12,LABD,0.454,306.75,3.0,0.023,0.059
2021-08-12,TMV,-0.223,150.58,2.0,0.011,0.054
2021-08-12,BIL,-0.231,156.18,0.55,0.012,0.052
2021-08-13,LABD,-26.193,17689.63,3.0,1.31,1.118
2021-08-13,TMV,-23.826,16091.55,2.0,1.191,0.504
2021-08-13,BIL,50.019,33781.18,0.55,2.501,0.492
2021-08-25,LABD,25.0,16871.84,3.0,1.25,1.169
2021-08-25,TMV,25.0,16871.84,2.0,1.25,0.527
2021-08-25,BIL,-50.0,33743.69,0.55,2.5,0.492
2021-08-26,LABD,-0.358,241.87,3.0,0.018,0.057
2021-08-26,TMV,0.274,185.33,2.0,0.014,0.055
2021-08-26,BIL,0.084,56.54,0.55,0.004,0.052
2021-08-27,LABD,-23.584,15545.08,3.0,1.179,1.155
2021-08-27,TMV,-25.158,16582.5,2.0,1.258,0.538
2021-08-27,BIL,48.742,32127.58,0.55,2.437,0.48
2021-09-07,LABD,25.0,16472.48,3.0,1.25,1.259
2021-09-07,BIL,-25.0,16472.48,0.55,1.25,0.246
2021-09-08,LABD,-25.426,16844.38,3.0,1.271,1.26
2021-09-08,BIL,25.426,16844.38,0.55,1.271,0.25
2021-09-17,LABD,25.0,16553.62,3.0,1.25,1.258
2021-09-17,TMV,25.0,16553.62,2.0,1.25,0.536
2021-09-17,BIL,-50.0,33107.25,0.55,2.5,0.492
2021-09-20,LABD,-27.079,18198.39,3.0,1.354,1.275
2021-09-20,TMV,-23.679,15913.17,2.0,1.184,0.518
2021-09-20,BIL,50.758,34111.57,0.55,2.538,0.499
2021-09-23,LABD,25.0,16792.56,3.0,1.25,1.266
2021-09-23,TMV,25.0,16792.56,2.0,1.25,0.533
2021-09-23,BIL,-50.0,33585.12,0.55,2.5,0.492
2021-09-24,LABD,-0.926,635.66,3.0,0.046,0.065
2021-09-24,TMV,-0.153,104.74,2.0,0.008,0.053
2021-09-24,BIL,1.079,740.4,0.55,0.054,0.054
2021-09-27,LABD,0.782,533.33,3.0,0.039,0.063
2021-09-27,TMV,-0.471,320.97,2.0,0.024,0.056
2021-09-27,BIL,-0.311,212.36,0.55,0.016,0.052
2021-09-28,LABD,-1.391,981.91,3.0,0.07,0.07
2021-09-28,TMV,-0.295,208.3,2.0,0.015,0.053
2021-09-28,BIL,1.686,1190.21,0.55,0.084,0.054
2021-09-29,LABD,-1.033,737.92,3.0,0.052,0.064
2021-09-29,TMV,0.454,324.22,2.0,0.023,0.054
2021-09-29,BIL,0.579,413.7,0.55,0.029,0.051
2021-09-30,LABD,0.099,70.96,3.0,0.005,0.051
2021-09-30,TMV,-0.041,29.39,2.0,0.002,0.049
2021-09-30,BIL,-0.058,41.57,0.55,0.003,0.049
2021-10-01,LABD,0.019,13.4,3.0,0.001,0.05
2021-10-01,TMV,0.393,278.01,2.0,0.02,0.053
2021-10-01,BIL,-0.412,291.41,0.55,0.021,0.051
2021-10-04,LABD,-1.227,884.19,3.0,0.061,0.067
2021-10-04,TMV,0.298,214.58,2.0,0.015,0.052
2021-10-04,BIL,0.929,669.61,0.55,0.046,0.051
2021-10-05,LABD,0.305,221.21,3.0,0.015,0.053
2021-10-05,TMV,-0.558,404.08,2.0,0.028,0.054
2021-10-05,BIL,0.252,182.86,0.55,0.013,0.049
2021-10-06,LABD,-0.646,469.4,3.0,0.032,0.058
2021-10-06,TMV,0.469,340.75,2.0,0.023,0.053
2021-10-06,BIL,0.177,128.65,0.55,0.009,0.049
2021-10-07,LABD,0.947,687.03,3.0,0.047,0.062
2021-10-07,TMV,-0.82,594.83,2.0,0.041,0.056
2021-10-07,BIL,-0.127,92.2,0.55,0.006,0.049
2021-10-08,LABD,-0.111,80.9,3.0,0.006,0.05
2021-10-08,TMV,-0.318,232.52,2.0,0.016,0.051
2021-10-08,BIL,0.428,313.43,0.55,0.021,0.049
2021-10-11,LABD,0.373,272.27,3.0,0.019,0.054
2021-10-11,TMV,-0.247,180.53,2.0,0.012,0.05
2021-10-11,BIL,-0.126,91.74,0.55,0.006,0.048
2021-10-12,LABD,-0.039,27.66,3.0,0.002,0.049
2021-10-12,TMV,0.854,612.96,2.0,0.043,0.057
2021-10-12,BIL,-0.815,585.3,0.55,0.041,0.051
2021-10-13,LABD,0.017,12.21,3.0,0.001,0.05
2021-10-13,TMV,0.507,360.24,2.0,0.025,0.054
2021-10-13,BIL,-0.524,372.45,0.55,0.026,0.051
2021-10-14,LABD,-24.174,16919.51,3.0,1.209,1.131
2021-10-14,TMV,-25.095,17564.01,2.0,1.255,0.523
2021-10-14,BIL,49.27,34483.52,0.55,2.463,0.485
2021-10-15,LABD,25.0,17490.2,3.0,1.25,1.134
2021-10-15,TMV,25.0,17490.2,2.0,1.25,0.517
2021-10-15,BIL,-50.0,34980.4,0.55,2.5,0.492
2021-10-18,LABD,-1.266,896.67,3.0,0.063,0.068
2021-10-18,TMV,0.634,448.91,2.0,0.032,0.056
2021-10-18,BIL,0.632,447.75,0.55,0.032,0.051
2021-10-19,LABD,0.858,608.91,3.0,0.043,0.062
2021-10-19,TMV,-0.953,676.54,2.0,0.048,0.059
2021-10-19,BIL,0.095,67.63,0.55,0.005,0.05
2021-10-20,LABD,-0.101,72.11,3.0,0.005,0.05
2021-10-20,TMV,-0.305,218.24,2.0,0.015,0.052
2021-10-20,BIL,0.406,290.35,0.55,0.02,0.05
2021-10-21,LABD,0.369,263.0,3.0,0.018,0.055
2021-10-21,TMV,-0.162,115.72,2.0,0.008,0.051
2021-10-21,BIL,-0.207,147.28,0.55,0.01,0.05
2021-10-22,SOXL,50.0,35306.15,1.14,2.5,1.022
2021-10-22,LABD,-0.161,113.66,3.0,0.008,0.052
2021-10-22,TMV,0.598,422.28,2.0,0.03,0.056
2021-10-22,BIL,-50.437,35614.77,0.55,2.522,0.496
2021-10-25,SOXL,-50.627,36096.62,1.11,2.531,1.011
2021-10-25,UVXY,50.0,35649.83,3.11,2.5,2.802
2021-10-25,LABD,0.481,342.65,3.0,0.024,0.056
2021-10-25,TMV,0.146,104.14,2.0,0.007,0.051
2021-10-26,UVXY,-50.811,36566.47,3.03,2.541,2.773
2021-10-26,LABD,-25.04,18020.31,3.0,1.252,1.118
2021-10-26,TMV,-24.149,17379.44,2.0,1.207,0.5
2021-10-26,BIL,100.0,71966.22,0.55,5.0,0.984
2021-11-23,LABD,25.0,17982.32,3.0,1.25,1.062
2021-11-23,TMV,25.0,17982.32,2.0,1.25,0.52
2021-11-23,BIL,-50.0,35964.64,0.55,2.5,0.492
2021-11-24,LABD,-25.027,17714.82,3.0,1.251,1.074
2021-11-24,TMV,-24.183,17117.3,2.0,1.209,0.516
2021-11-24,BIL,49.21,34832.12,0.55,2.46,0.484
2021-12-02,SOXS,25.0,17686.59,1.5,1.25,0.456
2021-12-02,UVXY,25.0,17686.59,2.4,1.25,1.082
2021-12-02,BIL,-50.0,35373.18,0.55,2.5,0.492
2021-12-03,SOXS,-24.352,17808.48,1.5,1.218,0.443
2021-12-03,UVXY,-27.31,19971.49,2.13,1.365,1.046
2021-12-03,BIL,51.661,37779.97,0.55,2.583,0.509
2022-01-03,SVXY,50.0,36542.15,2.0,2.5,1.019
2022-01-03,BIL,-50.0,36542.15,0.55,2.5,0.492
2022-01-04,SVXY,-50.005,36534.99,2.0,2.5,1.019
2022-01-04,BIL,50.005,36534.99,0.55,2.5,0.492
2022-01-19,TMV,25.0,18260.86,2.0,1.25,0.51
2022-01-19,BIL,-25.0,18260.86,0.55,1.25,0.246
2022-01-20,TMV,0.356,258.7,2.0,0.018,0.052
2022-01-20,BIL,-0.356,258.7,0.55,0.018,0.049
2022-01-21,TMV,0.686,494.46,2.0,0.034,0.055
2022-01-21,BIL,-0.686,494.46,0.55,0.034,0.05
2022-01-24,TMV,-0.452,327.82,2.0,0.023,0.053
2022-01-24,BIL,0.452,327.82,0.55,0.023,0.05
2022-01-25,TMV,-0.143,104.05,2.0,0.007,0.05
2022-01-25,BIL,0.143,104.05,0.55,0.007,0.049
2022-01-26,LABD,25.0,18306.87,3.0,1.25,0.728
2022-01-26,TMV,-0.657,480.78,2.0,0.033,0.054
2022-01-26,BIL,-24.343,17826.09,0.55,1.217,0.24
2022-01-27,LABD,-2.907,2174.26,3.0,0.145,0.09
2022-01-27,TMV,1.863,1393.23,2.0,0.093,0.065
2022-01-27,BIL,1.044,781.03,0.55,0.052,0.05
2022-01-28,LABD,2.104,1529.82,3.0,0.105,0.08
2022-01-28,TMV,-0.685,498.05,2.0,0.034,0.055
2022-01-28,BIL,-1.419,1031.78,0.55,0.071,0.052
2022-01-31,LABD,3.392,2369.83,3.0,0.17,0.108
2022-01-31,TMV,-1.351,943.88,2.0,0.068,0.064
2022-01-31,BIL,-2.041,1425.96,0.55,0.102,0.056
2022-02-01,LABD,0.95,657.87,3.0,0.047,0.065
2022-02-01,TMV,-0.527,365.26,2.0,0.026,0.056
2022-02-01,BIL,-0.422,292.61,0.55,0.021,0.052
2022-02-02,LABD,-1.907,1350.41,3.0,0.095,0.078
2022-02-02,TMV,0.821,581.77,2.0,0.041,0.058
