sig,fwd,scheme,days,ic_S,ic_L,diff,t,p_raw,p_wy,note
c_cat,fwd21,B1,664,-0.024,-0.0048,-0.0191,-0.23,0.803,1.0,
c_cat,fwd21,B2,1622,0.0127,0.0211,-0.0084,-0.2,0.8525,1.0,
c_cat,fwd21,B3,1616,0.0112,-0.0055,0.0167,0.46,0.66,1.0,
c_cat,fwd5,B1,669,-0.0028,-0.0102,0.0074,0.16,0.876,1.0,
c_cat,fwd5,B2,1627,0.0193,0.0228,-0.0035,-0.13,0.9365,1.0,
c_cat,fwd5,B3,1632,0.0107,-0.0082,0.0189,0.9,0.3795,1.0,
c_cat,fwd63,B1,623,-0.0435,-0.0782,0.0346,0.38,0.7045,1.0,
c_cat,fwd63,B2,1581,0.0248,0.0315,-0.0068,-0.14,0.9135,1.0,
c_cat,fwd63,B3,1574,-0.0072,0.0012,-0.0084,-0.21,0.852,1.0,
c_rev,fwd21,B1,0,,,,,,,insufficient
c_rev,fwd21,B2,0,,,,,,,insufficient
c_rev,fwd21,B3,58,,,,,,,insufficient
c_rev,fwd5,B1,0,,,,,,,insufficient
c_rev,fwd5,B2,0,,,,,,,insufficient
c_rev,fwd5,B3,71,,,,,,,insufficient
c_rev,fwd63,B1,0,,,,,,,insufficient
c_rev,fwd63,B2,0,,,,,,,insufficient
c_rev,fwd63,B3,56,,,,,,,insufficient
c_pos,fwd21,B1,631,0.0124,0.0788,-0.0664,-1.14,0.2555,1.0,
c_pos,fwd21,B2,1730,0.0201,-0.018,0.0381,1.12,0.2585,1.0,
c_pos,fwd21,B3,1616,0.0165,-0.0199,0.0364,1.23,0.2225,0.999,
c_pos,fwd5,B1,643,0.019,0.0806,-0.0616,-1.64,0.1005,0.9427,
c_pos,fwd5,B2,1746,0.0241,-0.0098,0.0339,1.43,0.1475,0.988,
c_pos,fwd5,B3,1632,-0.0019,0.0072,-0.0091,-0.45,0.6765,1.0,
c_pos,fwd63,B1,590,-0.0088,0.1224,-0.1312,-1.96,0.0455,0.742,
c_pos,fwd63,B2,1688,0.0126,0.0065,0.0061,0.14,0.8765,1.0,
c_pos,fwd63,B3,1574,0.0101,-0.0411,0.0512,1.5,0.1365,0.9802,
sig_run,fwd21,B1,568,-0.0542,0.1967,-0.2509,-3.42,0.0015,0.0143,
sig_run,fwd21,B2,1498,-0.0229,-0.0113,-0.0116,-0.27,0.7895,1.0,
sig_run,fwd21,B3,1292,0.0266,-0.0315,0.058,1.59,0.11,0.9595,
sig_run,fwd5,B1,580,-0.0142,0.0897,-0.1039,-2.38,0.017,0.3695,
sig_run,fwd5,B2,1514,-0.0098,0.0001,-0.0099,-0.39,0.7315,1.0,
sig_run,fwd5,B3,1308,0.019,-0.0119,0.0309,1.42,0.163,0.9895,
sig_run,fwd63,B1,527,-0.0326,0.3004,-0.333,-4.34,0.0005,0.0003,
sig_run,fwd63,B2,1456,-0.0105,-0.0104,-0.0001,-0.0,0.9755,1.0,
sig_run,fwd63,B3,1250,0.0445,-0.0085,0.053,1.39,0.1625,0.9908,
