arm,days,IR,IR_base,ann_excess_vs_base,t,p_raw,h1,h2,p_wy
baseline,2584,0.641,0.641,0.0,,,,,
B1:eq|eq,2584,0.641,0.641,0.0,0.0,2.0,0.0,0.0,1.0
B1:eq|cat40,2584,0.603,0.641,-1.02,-1.31,0.169,-1.11,-0.81,1.0
B1:eq|rev40,2584,0.646,0.641,0.04,0.06,0.934,0.49,-0.42,1.0
B1:eq|pos40,2584,0.686,0.641,1.39,1.7,0.064,1.4,1.24,1.0
B1:eq|cat55,2584,0.594,0.641,-1.35,-1.15,0.22,-2.8,0.24,1.0
B1:eq|rev55,2584,0.546,0.641,-2.78,-1.53,0.101,-2.27,-2.99,1.0
B1:cat40|eq,2584,0.629,0.641,-0.48,-0.4,0.704,0.82,-1.74,1.0
B1:cat40|cat40,2584,0.624,0.641,-0.6,-0.48,0.656,0.34,-1.49,1.0
B1:cat40|rev40,2584,0.608,0.641,-1.22,-0.71,0.476,-1.0,-1.31,1.0
B1:cat40|pos40,2584,0.665,0.641,0.67,0.5,0.622,2.49,-1.23,1.0
B1:cat40|cat55,2584,0.572,0.641,-2.03,-1.25,0.196,-2.13,-1.71,1.0
B1:cat40|rev55,2584,0.565,0.641,-2.37,-1.08,0.259,-0.74,-3.75,1.0
B1:rev40|eq,2584,0.651,0.641,0.29,0.77,0.46,0.17,0.38,1.0
B1:rev40|cat40,2584,0.602,0.641,-1.08,-1.36,0.178,-1.61,-0.43,1.0
B1:rev40|rev40,2584,0.664,0.641,0.55,0.77,0.418,0.65,0.39,1.0
B1:rev40|pos40,2584,0.691,0.641,1.54,2.05,0.036,0.87,2.05,0.9835
B1:rev40|cat55,2584,0.591,0.641,-1.43,-1.24,0.202,-3.33,0.62,1.0
B1:rev40|rev55,2584,0.562,0.641,-2.32,-1.3,0.179,-1.66,-2.74,1.0
B1:pos40|eq,2584,0.664,0.641,0.96,0.86,0.374,0.91,0.9,1.0
B1:pos40|cat40,2584,0.654,0.641,0.65,0.54,0.604,-0.41,1.64,1.0
B1:pos40|rev40,2584,0.668,0.641,0.96,0.76,0.435,0.69,1.12,1.0
B1:pos40|pos40,2584,0.665,0.641,1.16,0.93,0.368,1.57,0.63,1.0
B1:pos40|cat55,2584,0.638,0.641,0.19,0.12,0.821,-2.1,2.46,1.0
B1:pos40|rev55,2584,0.693,0.641,1.65,0.93,0.362,1.42,1.7,1.0
B1:cat55|eq,2584,0.572,0.641,-2.26,-0.81,0.428,-0.02,-4.26,1.0
B1:cat55|cat40,2584,0.55,0.641,-2.87,-1.03,0.298,-1.07,-4.36,1.0
B1:cat55|rev40,2584,0.568,0.641,-2.52,-0.92,0.358,-0.03,-4.75,1.0
B1:cat55|pos40,2584,0.594,0.641,-1.57,-0.57,0.564,0.57,-3.54,1.0
B1:cat55|cat55,2584,0.526,0.641,-3.63,-1.25,0.193,-1.51,-5.35,1.0
B1:cat55|rev55,2584,0.553,0.641,-2.99,-1.04,0.307,-0.31,-5.35,1.0
B1:rev55|eq,2584,0.635,0.641,-0.17,-0.21,0.911,-0.86,0.53,1.0
B1:rev55|cat40,2584,0.592,0.641,-1.32,-1.15,0.222,-2.22,-0.29,1.0
B1:rev55|rev40,2584,0.647,0.641,0.09,0.1,0.829,-0.37,0.54,1.0
B1:rev55|pos40,2584,0.666,0.641,0.83,0.74,0.461,-0.62,2.2,1.0
B1:rev55|cat55,2584,0.58,0.641,-1.68,-1.17,0.195,-3.94,0.77,1.0
B1:rev55|rev55,2584,0.561,0.641,-2.37,-1.31,0.173,-2.33,-2.16,1.0
B2:eq|eq,2584,0.641,0.641,0.0,0.0,2.0,0.0,0.0,1.0
B2:eq|cat40,2584,0.63,0.641,-0.13,-0.1,0.909,0.06,-0.31,1.0
B2:eq|rev40,2584,0.656,0.641,0.27,0.42,0.66,0.49,0.03,1.0
B2:eq|pos40,2584,0.649,0.641,0.5,0.42,0.669,0.72,0.24,1.0
B2:eq|cat55,2584,0.664,0.641,0.58,0.36,0.722,0.91,0.18,1.0
