observation_date,HNOSCIQ027S
1945-10-01,1252
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,594
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,636
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,605
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,969
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,1492
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,1421
1952-01-01,1422
1952-04-01,1454
1952-07-01,1465
1952-10-01,1502
1953-01-01,1665
1953-04-01,1854
1953-07-01,1789
1953-10-01,1866
1954-01-01,1888
1954-04-01,2045
1954-07-01,2290
1954-10-01,2672
1955-01-01,2971
1955-04-01,3033
1955-07-01,3133
1955-10-01,3108
1956-01-01,3099
1956-04-01,3102
1956-07-01,3097
1956-10-01,3142
1957-01-01,3015
1957-04-01,3210
1957-07-01,3106
1957-10-01,2805
1958-01-01,3054
1958-04-01,3486
1958-07-01,3554
1958-10-01,3770
1959-01-01,3804
1959-04-01,3901
1959-07-01,3747
1959-10-01,3773
1960-01-01,3460
1960-04-01,3507
1960-07-01,3585
1960-10-01,3649
1961-01-01,4022
1961-04-01,4482
1961-07-01,4441
1961-10-01,4723
1962-01-01,4379
1962-04-01,4001
1962-07-01,4305
1962-10-01,4564
1963-01-01,4645
1963-04-01,5423
1963-07-01,5893
1963-10-01,6095
1964-01-01,5926
1964-04-01,5927
1964-07-01,5764
1964-10-01,5610
1965-01-01,5572
1965-04-01,5592
1965-07-01,5420
1965-10-01,5986
1966-01-01,6137
1966-04-01,6303
1966-07-01,5905
1966-10-01,5950
1967-01-01,6479
1967-04-01,6983
1967-07-01,7922
1967-10-01,9164
1968-01-01,8593
1968-04-01,10514
1968-07-01,10759
1968-10-01,12005
1969-01-01,10271
1969-04-01,9841
1969-07-01,8216
1969-10-01,8476
1970-01-01,7298
1970-04-01,6532
1970-07-01,6795
1970-10-01,7188
1971-01-01,7302
1971-04-01,8159
1971-07-01,8785
1971-10-01,9764
1972-01-01,11646
1972-04-01,13000
1972-07-01,13394
1972-10-01,13485
1973-01-01,12401
1973-04-01,10845
1973-07-01,10181
1973-10-01,9149
1974-01-01,8502
1974-04-01,8033
1974-07-01,7732
1974-10-01,7583
1975-01-01,7581
1975-04-01,7709
1975-07-01,8030
1975-10-01,8605
1976-01-01,9959
1976-04-01,11223
1976-07-01,11645
1976-10-01,12510
1977-01-01,12936
1977-04-01,14024
1977-07-01,13981
1977-10-01,14527
1978-01-01,16401
1978-04-01,18950
1978-07-01,20731
1978-10-01,17145
1979-01-01,16326
1979-04-01,18958
1979-07-01,20249
1979-10-01,17458
1980-01-01,18735
1980-04-01,18620
1980-07-01,19972
1980-10-01,24737
1981-01-01,21807
1981-04-01,22179
1981-07-01,21068
1981-10-01,23023
1982-01-01,19250
1982-04-01,19099
1982-07-01,20798
1982-10-01,25791
1983-01-01,26743
1983-04-01,32758
1983-07-01,33781
1983-10-01,34177
1984-01-01,31723
1984-04-01,32657
1984-07-01,30415
1984-10-01,31834
1985-01-01,30614
1985-04-01,36878
1985-07-01,38968
1985-10-01,50699
1986-01-01,52848
1986-04-01,52842
1986-07-01,55521
1986-10-01,57429
1987-01-01,53567
1987-04-01,56889
1987-07-01,59395
1987-10-01,41797
1988-01-01,40625
1988-04-01,41231
1988-07-01,42131
1988-10-01,43506
1989-01-01,39338
1989-04-01,44641
1989-07-01,44294
1989-10-01,42540
1990-01-01,41977
1990-04-01,40022
1990-07-01,36722
1990-10-01,38809
1991-01-01,36867
1991-04-01,37562
1991-07-01,45059
1991-10-01,55066
1992-01-01,51227
1992-04-01,56332
1992-07-01,55840
1992-10-01,53474
1993-01-01,59775
1993-04-01,59048
1993-07-01,67376
1993-10-01,76123
1994-01-01,77033
1994-04-01,76103
1994-07-01,72568
1994-10-01,75051
1995-01-01,69850
1995-04-01,68742
1995-07-01,77352
1995-10-01,78593
1996-01-01,89110
1996-04-01,89851
1996-07-01,86937
1996-10-01,94411
1997-01-01,101354
1997-04-01,110390
1997-07-01,127447
1997-10-01,131172
1998-01-01,140059
1998-04-01,151513
1998-07-01,149053
1998-10-01,152761
1999-01-01,160646
1999-04-01,183825
1999-07-01,185837
1999-10-01,227926
2000-01-01,286471
2000-04-01,270234
2000-07-01,273873
2000-10-01,235134
2001-01-01,195785
2001-04-01,195977
2001-07-01,258064
2001-10-01,196359
2002-01-01,191989
2002-04-01,170555
2002-07-01,149624
2002-10-01,148201
2003-01-01,159526
2003-04-01,248456
2003-07-01,227610
2003-10-01,182500
2004-01-01,200782
2004-04-01,216509
2004-07-01,209852
2004-10-01,264019
2005-01-01,266078
2005-04-01,263518
2005-07-01,258013
2005-10-01,232447
2006-01-01,249478
2006-04-01,243845
2006-07-01,254532
2006-10-01,292099
2007-01-01,278962
2007-04-01,334032
2007-07-01,296520
2007-10-01,325534
2008-01-01,365327
2008-04-01,291465
2008-07-01,402323
2008-10-01,164838
2009-01-01,134275
2009-04-01,147666
2009-07-01,173767
2009-10-01,202985
2010-01-01,196375
2010-04-01,216997
2010-07-01,233671
2010-10-01,278175
2011-01-01,315728
2011-04-01,312853
2011-07-01,251931
2011-10-01,238861
2012-01-01,267723
2012-04-01,244457
2012-07-01,269144
2012-10-01,303747
2013-01-01,307855
2013-04-01,302558
2013-07-01,313716
2013-10-01,339184
2014-01-01,320598
2014-04-01,375418
2014-07-01,390257
2014-10-01,369537
2015-01-01,354327
