month,DEFM14A,PREM14A,merger_proxies
1994-01,1,1,2
1994-02,1,0,1
1994-03,6,2,8
1994-04,1,4,5
1994-05,3,1,4
1994-06,2,0,2
1994-07,1,0,1
1994-08,3,2,5
1994-09,4,0,4
1994-10,3,2,5
1994-11,2,1,3
1994-12,1,1,2
1995-02,2,2,4
1995-03,5,4,9
1995-04,6,2,8
1995-05,3,3,6
1995-06,7,5,12
1995-07,2,3,5
1995-08,8,3,11
1995-09,8,0,8
1995-10,8,4,12
1995-11,4,4,8
1995-12,7,6,13
1996-01,9,7,16
1996-02,12,6,18
1996-03,6,3,9
1996-07,16,17,33
1996-08,19,42,61
1996-09,19,5,24
1996-10,9,9,18
1996-11,22,9,31
1996-12,5,7,12
1997-01,8,10,18
1997-02,11,9,20
1997-03,14,9,23
1997-04,10,17,27
1997-05,12,17,29
1997-06,12,5,17
1997-07,12,10,22
1997-08,11,14,25
1997-09,9,13,22
1998-01,24,6,30
1998-02,14,7,21
1998-03,9,9,18
1998-04,16,13,29
1998-05,15,17,32
1998-06,14,11,25
1998-07,31,26,57
1998-08,14,12,26
1998-09,25,17,42
1999-01,14,10,24
1999-02,18,14,32
1999-03,13,11,24
1999-07,24,16,40
1999-08,31,31,62
1999-09,26,10,36
1999-10,22,18,40
1999-11,21,13,34
1999-12,24,17,41
2000-01,31,47,78
2000-02,34,21,55
2000-03,27,19,46
2000-04,18,22,40
2000-05,30,29,59
2000-06,21,29,50
2000-07,22,26,48
2000-08,24,25,49
2000-09,31,28,59
2000-10,14,24,38
2000-11,19,28,47
2000-12,29,29,58
2001-01,19,22,41
2001-02,17,22,39
2001-03,21,20,41
2001-04,19,30,49
2001-05,18,33,51
2001-06,22,29,51
2001-07,22,33,55
2001-08,32,25,57
2001-09,18,20,38
2002-01,10,18,28
2002-02,20,18,38
2002-03,10,12,22
2002-04,13,22,35
2002-05,21,21,42
2002-06,16,13,29
2002-07,13,16,29
2002-08,12,18,30
2002-09,13,9,22
2002-10,15,27,42
2002-11,20,20,40
2002-12,11,30,41
2003-01,12,16,28
2003-02,23,19,42
2003-03,12,7,19
2003-07,9,24,33
2003-08,25,21,46
2003-09,16,25,41
2003-10,13,22,35
2003-11,19,19,38
2003-12,14,20,34
2004-01,21,11,32
2004-02,13,19,32
2004-03,17,18,35
2004-04,16,21,37
2004-05,23,15,38
2004-06,16,18,34
2004-07,11,16,27
2004-08,17,17,34
2004-09,12,19,31
2005-01,40,12,52
2005-02,18,19,37
2005-03,13,13,26
2005-04,17,12,29
2005-05,20,20,40
2005-06,13,22,35
2005-07,21,29,50
2005-08,20,23,43
2005-09,32,26,58
2005-10,16,19,35
2005-11,20,19,39
2005-12,23,22,45
2006-01,20,14,34
2006-02,13,21,34
2006-03,21,25,46
2006-07,21,23,44
2006-08,19,40,59
2006-09,31,25,56
2006-10,35,35,70
2006-11,32,36,68
2006-12,31,26,57
2007-01,27,30,57
2007-02,25,27,52
2007-03,29,38,67
2007-04,25,25,50
2007-05,31,32,63
2007-06,36,38,74
2007-07,33,34,67
2007-08,39,42,81
2007-09,26,18,44
2007-10,35,22,57
2007-11,23,20,43
2007-12,14,15,29
2008-01,22,13,35
2008-02,12,18,30
2008-03,13,10,23
2008-04,16,20,36
2008-05,20,14,34
2008-06,12,15,27
2008-07,20,20,40
2008-08,20,19,39
2008-09,19,17,36
2008-10,20,14,34
2008-11,17,9,26
2008-12,16,9,25
2009-01,7,7,14
2009-02,7,3,10
2009-03,2,6,8
2009-07,10,18,28
2009-08,19,11,30
2009-09,14,11,25
2010-01,14,11,25
2010-02,18,10,28
2010-03,12,9,21
2010-04,13,20,33
2010-05,11,12,23
2010-06,19,12,31
2010-07,16,18,34
2010-08,20,14,34
2010-09,20,19,39
2010-10,25,27,52
2010-11,19,14,33
2010-12,15,17,32
2011-01,14,10,24
2011-02,15,10,25
2011-03,13,19,32
2011-04,22,22,44
2011-05,32,12,44
2011-06,16,22,38
2011-07,14,10,24
2011-08,16,13,29
2011-09,18,13,31
2011-10,14,16,30
2011-11,14,9,23
2011-12,14,11,25
2012-01,14,5,19
2012-02,8,6,14
2012-03,8,4,12
2012-04,8,14,22
2012-05,15,14,29
2012-06,7,17,24
2012-07,15,10,25
2012-08,23,14,37
2012-09,9,15,24
2012-10,15,6,21
2012-11,15,15,30
2012-12,11,8,19
2013-01,19,8,27
2013-02,19,12,31
2013-03,17,18,35
2013-04,16,6,22
2013-05,19,14,33
2013-06,15,10,25
2013-07,15,12,27
2013-08,17,9,26
2013-09,10,11,21
2014-01,13,7,20
2014-02,12,6,18
2014-03,11,7,18
2014-04,11,10,21
2014-05,16,16,32
2014-06,13,7,20
2014-07,16,10,26
2014-08,14,5,19
2014-09,10,21,31
2014-10,34,15,49
2014-11,15,4,19
2014-12,20,11,31
2015-01,22,6,28
2015-02,16,3,19
2015-03,10,12,22
2015-04,13,8,21
2015-05,24,14,38
2015-06,19,7,26
2015-07,12,9,21
2015-08,21,13,34
2015-09,20,18,38
2015-10,30,11,41
2015-11,12,19,31
2015-12,20,8,28
2016-01,15,4,19
2016-02,12,6,18
2016-03,18,16,34
2016-04,11,13,24
2016-05,25,9,34
2016-06,22,15,37
2016-07,19,18,37
2016-08,23,9,32
2016-09,23,18,41
2017-01,18,9,27
2017-02,16,7,23
2017-03,15,13,28
2017-04,15,9,24
2017-05,19,15,34
2017-06,27,14,41
2017-07,16,13,29
2017-08,21,10,31
2017-09,20,14,34
2018-01,16,4,20
2018-02,22,16,38
2018-03,14,11,25
2018-04,14,13,27
2018-05,20,13,33
2018-06,25,12,37
2018-07,20,18,38
2018-08,31,15,46
2018-09,15,10,25
2018-10,26,10,36
2018-11,19,15,34
2018-12,24,10,34
2019-01,21,7,28
2019-02,17,9,26
2019-03,13,11,24
2019-04,12,7,19
2019-05,15,12,27
2019-06,23,7,30
2019-07,20,19,39
2019-08,19,15,34
2019-09,24,11,35
2019-10,23,9,32
2019-11,18,12,30
2019-12,16,21,37
2020-01,19,11,30
2020-02,15,8,23
2020-03,16,11,27
2020-07,5,6,11
2020-08,13,17,30
2020-09,16,8,24
2021-01,16,18,34
2021-02,29,15,44
2021-03,25,13,38
2021-04,20,11,31
2021-05,23,19,42
2021-06,32,16,48
2021-07,46,16,62
2021-08,27,20,47
2021-09,27,18,45
2021-10,32,14,46
2021-11,20,8,28
2021-12,14,13,27
2022-01,27,10,37
2022-02,19,14,33
2022-03,11,17,28
2022-04,27,14,41
2022-05,28,14,42
2022-06,16,12,28
2022-07,13,11,24
2022-08,20,17,37
2022-09,26,14,40
2022-10,20,8,28
2022-11,23,14,37
2022-12,16,10,26
2023-01,14,6,20
2023-02,17,8,25
2023-03,16,12,28
2023-07,24,6,30
2023-08,12,10,22
2023-09,26,13,39
2023-10,19,10,29
2023-11,19,11,30
2023-12,11,6,17
2024-01,28,17,45
2024-02,24,11,35
2024-03,18,15,33
2024-07,23,8,31
2024-08,17,14,31
2024-09,19,18,37
2024-10,25,11,36
2024-11,20,14,34
2024-12,21,10,31
2025-01,20,11,31
2025-02,12,10,22
2025-03,23,9,32
2025-04,12,9,21
2025-05,19,6,25
2025-06,11,8,19
2025-07,21,19,40
2025-08,24,14,38
2025-09,23,12,35
2025-10,17,16,33
2025-11,23,11,34
2025-12,30,19,49
2026-01,21,14,35
2026-02,25,6,31
2026-03,22,17,39
2026-04,22,10,32
2026-05,23,20,43
2026-06,22,9,31
2026-07,19,15,34
2026-08,21,12,33
2026-09,4,8,12
