month,hsr_transactions_reported
1989-10,267
1989-11,371
1989-12,139
1990-01,160
1990-02,138
1990-03,179
1990-04,168
1990-05,187
1990-06,182
1990-07,156
1990-08,163
1990-09,152
1990-10,148
1990-11,198
1990-12,121
1991-01,96
1991-02,97
1991-03,113
1991-04,120
1991-05,130
1991-06,122
1991-07,130
1991-08,156
1991-09,98
1991-10,140
1991-11,180
1991-12,155
1992-01,97
1992-02,87
1992-03,135
1992-04,129
1992-05,142
1992-06,116
1992-07,154
1992-08,124
1992-09,130
1992-10,163
1992-11,184
1992-12,160
1993-01,100
1993-02,110
1993-03,149
1993-04,131
1993-05,155
1993-06,151
1993-07,172
1993-08,204
1993-09,167
1993-10,184
1993-11,221
1993-12,222
1994-01,156
1994-02,149
1994-03,167
1994-04,167
1994-05,220
1994-06,182
1994-07,208
1994-08,226
1994-09,203
1994-10,273
1994-11,309
1994-12,216
1995-01,180
1995-02,170
1995-03,229
1995-04,177
1995-05,281
1995-06,252
1995-07,225
1995-08,237
1995-09,267
1995-10,238
1995-11,273
1995-12,249
1996-01,238
1996-02,231
1996-03,277
1996-04,252
1996-05,304
1996-06,253
1996-07,265
1996-08,264
1996-09,243
1996-10,296
1996-11,332
1996-12,267
1997-01,263
1997-02,250
1997-03,315
1997-04,302
1997-05,328
1997-06,319
1997-07,389
1997-08,318
1997-09,323
1997-10,424
1997-11,387
1997-12,426
1998-01,306
1998-02,336
1998-03,392
1998-04,384
1998-05,401
1998-06,442
1998-07,435
1998-08,427
1998-09,368
1998-10,333
1998-11,359
1998-12,394
1999-01,282
1999-02,330
1999-03,427
1999-04,364
1999-05,438
1999-06,445
1999-07,444
1999-08,434
1999-09,392
1999-10,376
1999-11,428
1999-12,468
2000-01,335
2000-02,440
2000-03,455
2000-04,343
2000-05,398
2000-06,494
2000-07,351
2000-08,446
2000-09,392
2000-10,360
2000-11,451
2000-12,345
2001-01,245
2001-02,66
2001-03,120
2001-04,94
2001-05,153
2001-06,190
2001-07,94
2001-08,163
2001-09,95
2001-10,89
2001-11,105
2001-12,95
2002-01,111
2002-02,87
2002-03,109
2002-04,99
2002-05,111
2002-06,88
2002-07,121
2002-08,97
2002-09,75
2002-10,77
2002-11,104
2002-12,78
2003-01,93
2003-02,71
2003-03,74
2003-04,92
2003-05,83
2003-06,80
2003-07,86
2003-08,85
2003-09,91
2003-10,93
2003-11,127
2003-12,143
2004-01,85
2004-02,109
2004-03,137
2004-04,127
2004-05,125
2004-06,117
2004-07,123
2004-08,134
2004-09,108
2004-10,139
2004-11,160
2004-12,126
2005-01,138
2005-02,99
2005-03,121
2005-04,121
2005-05,171
2005-06,153
2005-07,118
2005-08,170
2005-09,159
2005-10,130
2005-11,148
2005-12,137
2006-01,142
2006-02,124
2006-03,150
2006-04,125
2006-05,158
2006-06,172
2006-07,141
2006-08,186
2006-09,155
2006-10,201
2006-11,189
2006-12,151
2007-01,143
2007-02,157
2007-03,194
2007-04,156
2007-05,250
2007-06,202
2007-07,219
2007-08,200
2007-09,139
2007-10,158
2007-11,191
2007-12,172
2008-01,158
2008-02,119
2008-03,131
2008-04,128
2008-05,150
2008-06,146
2008-07,128
2008-08,126
2008-09,119
2008-10,91
2008-11,85
2008-12,37
2009-01,42
2009-02,32
2009-03,42
2009-04,60
2009-05,58
2009-06,51
2009-07,62
2009-08,77
2009-09,79
2009-10,66
2009-11,135
2009-12,84
2010-01,62
2010-02,61
2010-03,116
2010-04,92
2010-05,108
2010-06,108
2010-07,94
2010-08,120
2010-09,120
2010-10,128
2010-11,217
2010-12,91
2011-01,97
2011-02,81
2011-03,97
2011-04,96
2011-05,142
2011-06,117
2011-07,120
2011-08,164
2011-09,100
2011-10,122
2011-11,169
2011-12,95
2012-01,104
2012-02,90
2012-03,111
2012-04,96
2012-05,117
2012-06,142
2012-07,130
2012-08,133
2012-09,120
2012-10,127
2012-11,260
2012-12,92
2013-01,78
2013-02,82
2013-03,87
2013-04,77
2013-05,117
2013-06,90
2013-07,91
2013-08,122
2013-09,103
2013-10,124
2013-11,159
2013-12,108
2014-01,125
2014-02,114
2014-03,100
2014-04,140
2014-05,157
2014-06,150
2014-07,162
2014-08,151
2014-09,173
2014-10,144
2014-11,157
2014-12,122
2015-01,118
2015-02,140
2015-03,128
2015-04,131
2015-05,152
2015-06,155
2015-07,170
2015-08,216
2015-09,168
2015-10,168
2015-11,243
2015-12,157
2016-01,117
2016-02,127
2016-03,125
2016-04,129
2016-05,168
2016-06,150
2016-07,140
2016-08,166
2016-09,142
2016-10,163
2016-11,215
2016-12,148
2017-01,153
2017-02,153
2017-03,146
2017-04,150
2017-05,209
2017-06,191
2017-07,146
2017-08,219
2017-09,159
2017-10,174
2017-11,207
2017-12,160
2018-01,170
2018-02,141
2018-03,178
2018-04,140
2018-05,222
2018-06,177
2018-07,180
2018-08,223
2018-09,139
2018-10,211
2018-11,254
2018-12,157
2019-01,150
2019-02,145
2019-03,156
2019-04,163
2019-05,191
2019-06,161
2019-07,170
2019-08,173
2019-09,158
2019-10,151
2019-11,206
2019-12,164
2020-01,154
2020-02,138
2020-03,136
2020-04,72
2020-05,57
2020-06,117
2020-07,110
2020-08,170
2020-09,162
2020-10,202
2020-11,400
2020-12,204
2021-01,210
2021-02,278
2021-03,322
2021-04,261
2021-05,299
2021-06,299
2021-07,329
2021-08,353
2021-09,363
2021-10,432
2021-11,575
2021-12,279
2022-01,233
2022-02,206
2022-03,221
2022-04,218
2022-05,211
2022-06,202
2022-07,184
2022-08,197
2022-09,194
2022-10,172
2022-11,207
2022-12,170
2023-01,139
2023-02,150
2023-03,122
2023-04,114
2023-05,139
2023-06,145
2023-07,146
2023-08,162
2023-09,139
2023-10,146
2023-11,208
2023-12,154
2024-01,163
2024-02,139
2024-03,123
2024-04,159
2024-05,175
2024-06,160
2024-07,200
2024-08,203
2024-09,201
2024-10,184
2024-11,225
2024-12,172
2025-01,177
2025-02,213
2025-03,75
2025-04,106
2025-05,140
2025-06,141
2025-07,181
2025-08,191
2025-09,201
